"","Education","variable","value"
"110","9th to 12th grade, no diploma","X.25.000.to..27.499",559
"111","High school graduate (includes equivalency)","X.25.000.to..27.499",3152
"112","Some college, no degree","X.25.000.to..27.499",1603
"113","Associate degree","X.25.000.to..27.499",853
"114","Bachelor's degree","X.25.000.to..27.499",1265
"115","Master's degree","X.25.000.to..27.499",337
"116","Professional degree","X.25.000.to..27.499",62
"117","Doctorate degree","X.25.000.to..27.499",42
"118","Less than 9th grade","X.27.500.to..29.999",153
"119","9th to 12th grade, no diploma","X.27.500.to..29.999",296
"120","High school graduate (includes equivalency)","X.27.500.to..29.999",1866
"121","Some college, no degree","X.27.500.to..29.999",1144
"122","Associate degree","X.27.500.to..29.999",620
"123","Bachelor's degree","X.27.500.to..29.999",770
"124","Master's degree","X.27.500.to..29.999",259
"125","Professional degree","X.27.500.to..29.999",26
"126","Doctorate degree","X.27.500.to..29.999",46
"127","Less than 9th grade","X.30.000.to..32.499",405
"128","9th to 12th grade, no diploma","X.30.000.to..32.499",492
"129","High school graduate (includes equivalency)","X.30.000.to..32.499",3220
"130","Some college, no degree","X.30.000.to..32.499",1840
"131","Associate degree","X.30.000.to..32.499",1083
"132","Bachelor's degree","X.30.000.to..32.499",1486
"133","Master's degree","X.30.000.to..32.499",474
"134","Professional degree","X.30.000.to..32.499",50
"135","Doctorate degree","X.30.000.to..32.499",66
"136","Less than 9th grade","X.32.500.to..34.999",129
"137","9th to 12th grade, no diploma","X.32.500.to..34.999",172
"138","High school graduate (includes equivalency)","X.32.500.to..34.999",1378
"139","Some college, no degree","X.32.500.to..34.999",751
"140","Associate degree","X.32.500.to..34.999",409
"141","Bachelor's degree","X.32.500.to..34.999",843
"142","Master's degree","X.32.500.to..34.999",227
"143","Professional degree","X.32.500.to..34.999",30
"144","Doctorate degree","X.32.500.to..34.999",35
"145","Less than 9th grade","X.35.000.to..37.499",202
"146","9th to 12th grade, no diploma","X.35.000.to..37.499",326
"147","High school graduate (includes equivalency)","X.35.000.to..37.499",2431
"148","Some college, no degree","X.35.000.to..37.499",1457
"149","Associate degree","X.35.000.to..37.499",834
"150","Bachelor's degree","X.35.000.to..37.499",1467
"151","Master's degree","X.35.000.to..37.499",461
"152","Professional degree","X.35.000.to..37.499",57
